CÓDIGO,NOMBRE,NOMBRE DEL MUNICIPIO,NOMBRE DEL DEPARTAMENTO,ID
18,YUCUAIQUÍN,LA UNIÓN SUR,LA UNIÓN,DIS-.YYYY.-.#####
17,YAYANTIQUE,LA UNIÓN SUR,LA UNIÓN,DIS-.YYYY.-.#####
16,SAN ALEJO,LA UNIÓN SUR,LA UNIÓN,DIS-.YYYY.-.#####
15,MEANGUERA DEL GOLFO,LA UNIÓN SUR,LA UNIÓN,DIS-.YYYY.-.#####
14,LA UNIÓN,LA UNIÓN SUR,LA UNIÓN,DIS-.YYYY.-.#####
13,INTIPUCÁ,LA UNIÓN SUR,LA UNIÓN,DIS-.YYYY.-.#####
12,EL CARMEN,LA UNIÓN SUR,LA UNIÓN,DIS-.YYYY.-.#####
11,CONCHAGUA,LA UNIÓN SUR,LA UNIÓN,DIS-.YYYY.-.#####
10,SANTA ROSA LIMA,LA UNIÓN NORTE,LA UNIÓN,DIS-.YYYY.-.#####
09,SAN JOSE,LA UNIÓN NORTE,LA UNIÓN,DIS-.YYYY.-.#####
08,POLORÓS,LA UNIÓN NORTE,LA UNIÓN,DIS-.YYYY.-.#####
07,PASAQUINA,LA UNIÓN NORTE,LA UNIÓN,DIS-.YYYY.-.#####
06,NUEVA ESPARTA,LA UNIÓN NORTE,LA UNIÓN,DIS-.YYYY.-.#####
05,LISLIQUE,LA UNIÓN NORTE,LA UNIÓN,DIS-.YYYY.-.#####
04,EL SAUCE,LA UNIÓN NORTE,LA UNIÓN,DIS-.YYYY.-.#####
03,CONCEPCION DE ORIENTE,LA UNIÓN NORTE,LA UNIÓN,DIS-.YYYY.-.#####
02,BOLÍVAR,LA UNIÓN NORTE,LA UNIÓN,DIS-.YYYY.-.#####
01,ANAMOROS,LA UNIÓN NORTE,LA UNIÓN,DIS-.YYYY.-.#####
26,YOLOAIQUIN,MORAZÁN SUR,MORAZÁN,DIS-.YYYY.-.#####
25,YAMABAL,MORAZÁN SUR,MORAZÁN,DIS-.YYYY.-.#####
24,SOCIEDAD,MORAZÁN SUR,MORAZÁN,DIS-.YYYY.-.#####
23,SENSEMBRA,MORAZÁN SUR,MORAZÁN,DIS-.YYYY.-.#####
22,SAN SIMÓN,MORAZÁN SUR,MORAZÁN,DIS-.YYYY.-.#####
21,SAN FRANCISCO GOTERA,MORAZÁN SUR,MORAZÁN,DIS-.YYYY.-.#####
20,SAN CARLOS,MORAZÁN SUR,MORAZÁN,DIS-.YYYY.-.#####
19,OSICALA,MORAZÁN SUR,MORAZÁN,DIS-.YYYY.-.#####
18,LOLOTIQUILLO,MORAZÁN SUR,MORAZÁN,DIS-.YYYY.-.#####
17,JOCORO,MORAZÁN SUR,MORAZÁN,DIS-.YYYY.-.#####
16,GUATAJIAGUA,MORAZÁN SUR,MORAZÁN,DIS-.YYYY.-.#####
15,GUALOCOCTI,MORAZÁN SUR,MORAZÁN,DIS-.YYYY.-.#####
14,EL DIVISADERO,MORAZÁN SUR,MORAZÁN,DIS-.YYYY.-.#####
13,DELICIAS DE CONCEPCION,MORAZÁN SUR,MORAZÁN,DIS-.YYYY.-.#####
12,CHILANGA,MORAZÁN SUR,MORAZÁN,DIS-.YYYY.-.#####
11,TOROLA,MORAZÁN NORTE,MORAZÁN,DIS-.YYYY.-.#####
10,SAN ISIDRO,MORAZÁN NORTE,MORAZÁN,DIS-.YYYY.-.#####
09,SAN FERNANDO,MORAZÁN NORTE,MORAZÁN,DIS-.YYYY.-.#####
08,PERQUÍN,MORAZÁN NORTE,MORAZÁN,DIS-.YYYY.-.#####
07,MEANGUERA,MORAZÁN NORTE,MORAZÁN,DIS-.YYYY.-.#####
06,JOCOAITIQUE,MORAZÁN NORTE,MORAZÁN,DIS-.YYYY.-.#####
05,JOATECA,MORAZÁN NORTE,MORAZÁN,DIS-.YYYY.-.#####
04,EL ROSARIO,MORAZÁN NORTE,MORAZÁN,DIS-.YYYY.-.#####
03,CORINTO,MORAZÁN NORTE,MORAZÁN,DIS-.YYYY.-.#####
02,CACAOPERA,MORAZÁN NORTE,MORAZÁN,DIS-.YYYY.-.#####
01,ARAMBALA,MORAZÁN NORTE,MORAZÁN,DIS-.YYYY.-.#####
20,EL TRANSITO,SAN MIGUEL OESTE,SAN MIGUEL,DIS-.YYYY.-.#####
19,SAN RAFAEL ORIENTE,SAN MIGUEL OESTE,SAN MIGUEL,DIS-.YYYY.-.#####
18,SAN JORGE,SAN MIGUEL OESTE,SAN MIGUEL,DIS-.YYYY.-.#####
17,LOLOTIQUE,SAN MIGUEL OESTE,SAN MIGUEL,DIS-.YYYY.-.#####
16,NUEVA GUADALUPE,SAN MIGUEL OESTE,SAN MIGUEL,DIS-.YYYY.-.#####
15,CHINAMECA,SAN MIGUEL OESTE,SAN MIGUEL,DIS-.YYYY.-.#####
14,CHIRILAGUA,SAN MIGUEL CENTRO,SAN MIGUEL,DIS-.YYYY.-.#####
13,QUELEPA,SAN MIGUEL CENTRO,SAN MIGUEL,DIS-.YYYY.-.#####
12,MONCAGUA,SAN MIGUEL CENTRO,SAN MIGUEL,DIS-.YYYY.-.#####
11,ULUAZAPA,SAN MIGUEL CENTRO,SAN MIGUEL,DIS-.YYYY.-.#####
10,COMACARÁN,SAN MIGUEL CENTRO,SAN MIGUEL,DIS-.YYYY.-.#####
09,SAN MIGUEL,SAN MIGUEL CENTRO,SAN MIGUEL,DIS-.YYYY.-.#####
08,CHAPELTIQUE,SAN MIGUEL NORTE,SAN MIGUEL,DIS-.YYYY.-.#####
07,SAN ANTONIO DEL MOSCO,SAN MIGUEL NORTE,SAN MIGUEL,DIS-.YYYY.-.#####
06,CAROLINA,SAN MIGUEL NORTE,SAN MIGUEL,DIS-.YYYY.-.#####
